date,Team_Name,Average_Age
11/5/21,LOS ANGELES LAKERS,32.07
11/5/21,MEMPHIS GRIZZLIES,24.34
11/5/21,MIAMI HEAT,29.03
11/5/21,MILWAUKEE BUCKS,27.79
11/5/21,MINNESOTA TIMBERWOLVES,24.56
11/5/21,NEW ORLEANS PELICANS,25.65
11/5/21,NEW YORK KNICKS,26.95
11/5/21,OKLAHOMA CITY THUNDER,23.6
11/5/21,ORLANDO MAGIC,24.47
11/5/21,PHILADELPHIA 76ERS,26.15
11/5/21,PHOENIX SUNS,27.58
11/5/21,PORTLAND TRAIL BLAZERS,27.62
11/5/21,SACRAMENTO KINGS,26.34
11/5/21,SAN ANTONIO SPURS,25.68
11/5/21,TORONTO RAPTORS,25.07
11/5/21,UTAH JAZZ,28.63
11/5/21,WASHINGTON WIZARDS,26.35
11/7/21,ATLANTA HAWKS,27.12
11/7/21,BOSTON CELTICS,26.06
11/7/21,BROOKLYN NETS,30.02
11/7/21,CHARLOTTE HORNETS,26
11/7/21,CHICAGO BULLS,25.68
11/7/21,CLEVELAND CAVALIERS,25.13
11/7/21,DALLAS MAVERICKS,27.1
11/7/21,DENVER NUGGETS,27.8
11/7/21,DETROIT PISTONS,24.62
11/7/21,GOLDEN STATE WARRIORS,28.58
11/7/21,HOUSTON ROCKETS,25.42
11/7/21,INDIANA PACERS,27.01
11/7/21,LOS ANGELES CLIPPERS,28.05
11/7/21,LOS ANGELES LAKERS,32.07
11/7/21,MEMPHIS GRIZZLIES,23.97
11/7/21,MIAMI HEAT,29.03
11/7/21,MILWAUKEE BUCKS,27.79
11/7/21,MINNESOTA TIMBERWOLVES,24.56
11/7/21,NEW ORLEANS PELICANS,25.65
11/7/21,NEW YORK KNICKS,26.95
11/7/21,OKLAHOMA CITY THUNDER,23.6
11/7/21,ORLANDO MAGIC,24.47
11/7/21,PHILADELPHIA 76ERS,26.15
11/7/21,PHOENIX SUNS,27.58
11/7/21,PORTLAND TRAIL BLAZERS,27.62
11/7/21,SACRAMENTO KINGS,26.34
11/7/21,SAN ANTONIO SPURS,25.68
11/7/21,TORONTO RAPTORS,25.07
11/7/21,UTAH JAZZ,28.63
11/7/21,WASHINGTON WIZARDS,26.35
11/8/21,ATLANTA HAWKS,27.12
11/8/21,BOSTON CELTICS,26.06
11/8/21,BROOKLYN NETS,30.02
11/8/21,CHARLOTTE HORNETS,26
11/8/21,CHICAGO BULLS,25.68
11/8/21,CLEVELAND CAVALIERS,25.13
11/8/21,DALLAS MAVERICKS,27.1
11/8/21,DENVER NUGGETS,27.8
11/8/21,DETROIT PISTONS,24.62
11/8/21,GOLDEN STATE WARRIORS,28.58
11/8/21,HOUSTON ROCKETS,25.42
11/8/21,INDIANA PACERS,27.01
11/8/21,LOS ANGELES CLIPPERS,28.38
11/8/21,LOS ANGELES LAKERS,32.07
11/8/21,MEMPHIS GRIZZLIES,23.97
11/8/21,MIAMI HEAT,29.03
11/8/21,MILWAUKEE BUCKS,27.79
11/8/21,MINNESOTA TIMBERWOLVES,24.56
11/8/21,NEW ORLEANS PELICANS,25.65
11/8/21,NEW YORK KNICKS,26.95
11/8/21,OKLAHOMA CITY THUNDER,23.6
11/8/21,ORLANDO MAGIC,24.47
11/8/21,PHILADELPHIA 76ERS,26.15
11/8/21,PHOENIX SUNS,27.58
11/8/21,PORTLAND TRAIL BLAZERS,27.62
